locus	allele_count	class
A	9175	I
B	11110	I
C	9288	I
DRB1	3977	II
DQA1	1026	II
DQB1	3069	II
DPA1	929	II
DPB1	3104	II
E	389	I
F	136	I
G	203	I
DRA	129	II
DRB3	746	II
DRB4	350	II
DRB5	262	II
DQA2	42	II
DQB2	41	II
DPB2	7	II
MICA	727	other
MICB	372	other
TAP1	19	other
TAP2	106	other
HFE	6	other
DMA	106	other
DMB	165	other
DOA	169	other
DOB	125	other
DPA2	6	other
DRB2	1	other
DRB6	4	other
DRB7	2	other
DRB8	1	other
DRB9	6	other
H	105	other
J	34	other
K	7	other
L	6	other
N	5	other
P	5	other
R	2	other
S	7	other
T	9	other
U	7	other
V	4	other
W	13	other
Y	3	other
